,word,n
62,mentor,11
69,language,10
72,dependency,10
73,handle,10
78,peer,9
79,scala,9
84,adapt,9
108,least,8
113,architecture,7
120,java,7
123,backend,7
132,highquality,6
144,frontend,6
151,c,6
